circuit,dtype,eta,frac_finite,frac_onehot,fwd_rel_err,label,max_entropy,mean_entropy,n_free,n_lookups_scored,pred_unchanged,pred_v,prune,prune_nz,quant,selector_hit
CKT_0101,f32,9.671689367636918e-09,1.0,1.0,2.546743456492543e-08,f32,-0.0,0.0,9,1357,True,2.65,0.0,False,,1.0
CKT_0101,bf16,0.26787870823457083,1.0,0.9218865143699336,0.687602964721197,bf16,1.7933039683333103,0.08298378686361896,9,1357,False,2.05,0.0,False,,0.9270449521002211
CKT_0101,f16,inf,0.0,0.0,inf,f16,-0.0,0.0,9,1357,False,0.0,0.0,False,,0.6175386882829772
CKT_0101,f64,1.0,1.0,0.01694915254237288,1.0,per_tensor int8,4.077537443905721,3.1276920146008393,9,1357,False,0.0,0.0,False,per_tensor_int8,0.6175386882829772
CKT_0101,f64,1.0,1.0,1.0,1.0,per_channel int8,-0.0,0.0,9,1357,False,0.0,0.0,False,per_channel_int8,0.2505526897568165
CKT_0101,f64,2.92729705878414e-17,1.0,1.0,1.5926202266571858e-16,prune 10%,-0.0,0.0,9,1357,True,2.65,0.1,False,,1.0
CKT_0101,f64,1.0,1.0,1.0,1.0,prune 10%(nz),-0.0,0.0,9,1357,False,0.0,0.1,True,,0.13264554163596168
CKT_0101,f64,2.92729705878414e-17,1.0,1.0,1.5926202266571858e-16,prune 50%,-0.0,0.0,9,1357,True,2.65,0.5,False,,1.0
CKT_0101,f64,1.0,1.0,0.01694915254237288,1.0,prune 50%(nz),4.077537443905721,3.1276920146008393,9,1357,False,0.0,0.5,True,,0.6175386882829772
CKT_0101,f64,2.92729705878414e-17,1.0,1.0,1.5926202266571858e-16,prune 90%,-0.0,0.0,9,1357,True,2.65,0.9,False,,1.0
CKT_0101,f64,1.0,1.0,0.01694915254237288,1.0,prune 90%(nz),4.077537443905721,3.1276920146008393,9,1357,False,0.0,0.9,True,,0.6175386882829772
CKT_0141,f64,5.3968638322072397e-17,1.0,1.0,1.2665357847826707e-16,f64,-0.0,0.0,9,1464,True,4.05,0.0,False,,1.0
CKT_0141,f32,1.9612121989311453e-08,1.0,1.0,7.578879108812691e-08,f32,-0.0,0.0,9,1464,True,4.05,0.0,False,,1.0
CKT_0141,bf16,0.031237014070462553,1.0,0.9057377049180327,9.915986517754064,bf16,1.944060759703829,0.10122032733387469,9,1464,False,23.85,0.0,False,,0.9159836065573771
CKT_0141,f16,inf,0.0,0.0,inf,f16,-0.0,0.0,9,1464,False,0.0,0.0,False,,0.5983606557377049
CKT_0141,f64,1.0,1.0,0.01639344262295082,1.0,per_tensor int8,4.110873864173312,3.159656512915491,9,1464,False,0.0,0.0,False,per_tensor_int8,0.5983606557377049
CKT_0141,f64,1.0,1.0,1.0,1.0,per_channel int8,-0.0,0.0,9,1464,False,0.0,0.0,False,per_channel_int8,0.2677595628415301
CKT_0141,f64,5.3968638322072397e-17,1.0,1.0,1.2665357847826707e-16,prune 10%,-0.0,0.0,9,1464,True,4.05,0.1,False,,1.0
CKT_0141,f64,1.0,1.0,1.0,1.0,prune 10%(nz),-0.0,0.0,9,1464,False,0.0,0.1,True,,0.13797814207650272
CKT_0141,f64,5.3968638322072397e-17,1.0,1.0,1.2665357847826707e-16,prune 50%,-0.0,0.0,9,1464,True,4.05,0.5,False,,1.0
CKT_0141,f64,1.0,1.0,0.01639344262295082,1.0,prune 50%(nz),4.110873864173312,3.159656512915491,9,1464,False,0.0,0.5,True,,0.5983606557377049
CKT_0141,f64,5.3968638322072397e-17,1.0,1.0,1.2665357847826707e-16,prune 90%,-0.0,0.0,9,1464,True,4.05,0.9,False,,1.0
CKT_0141,f64,1.0,1.0,0.01639344262295082,1.0,prune 90%(nz),4.110873864173312,3.159656512915491,9,1464,False,0.0,0.9,True,,0.5983606557377049
CKT_0140,f64,4.751977455812472e-17,1.0,1.0,1.2620378799283737e-16,f64,-0.0,0.0,10,1716,True,15.0,0.0,False,,1.0
CKT_0140,f32,3.0354677614038723e-08,1.0,1.0,1.1456541916747515e-07,f32,-0.0,0.0,10,1716,True,15.0,0.0,False,,1.0
CKT_0140,bf16,0.0005773714780757157,1.0,0.9224941724941725,622.4631722581674,bf16,1.944060759703829,0.09523112121681032,10,1716,False,23.3,0.0,False,,0.9353146853146853
CKT_0140,f16,inf,0.0,0.0,inf,f16,-0.0,0.0,10,1716,False,0.0,0.0,False,,0.6130536130536131
CKT_0140,f64,1.0,1.0,0.015151515151515152,1.0,per_tensor int8,4.189654742026424,3.2353369923418676,10,1716,False,0.0,0.0,False,per_tensor_int8,0.6130536130536131
