circuit,n_free,kappa,target,truth,v_unrounded,v_pred,err_total,err_quant,err_target,err_solve,passes,knife_edge,n_S,n_clamped
CKT_0055,7,33671.98691872837,4,0.2155,0.21554339716488433,0.2,0.015499999999999986,0.015543397164884315,4.339716488432899e-05,0.0,True,False,7,0
CKT_0056,8,nan,4,12.0,12.0,12.0,0.0,0.0,0.0,0.0,True,False,0,0
CKT_0057,7,125.19529016214524,4,7.567,7.567010624705335,7.55,0.017000000000000348,0.01701062470533543,1.0624705335082751e-05,0.0,True,False,7,0
CKT_0058,8,nan,4,3.3,3.3,3.3,0.0,0.0,0.0,0.0,True,False,0,0
CKT_0059,7,30476.671984577817,4,0.066,0.06596094894368856,0.05,0.016,0.01596094894368856,3.90510563114399e-05,0.0,True,False,7,0
CKT_0060,8,52212.01111582597,12,17.1311,17.131095227093677,17.15,0.018899999999998585,0.0189047729063212,4.77290632261429e-06,9.592326932761353e-14,True,False,8,0
CKT_0061,10,2890.1435507255087,12,11.4013,11.401276043889503,11.4,0.001300000000000523,0.0012760438895025317,2.395611049799129e-05,1.5987211554602254e-14,True,False,10,0
CKT_0062,11,2518.269080481219,15,5.0088,5.008773611820065,5.0,0.008799999999999919,0.008773611820065419,2.6388179934500045e-05,2.6645352591003757e-15,True,False,11,0
CKT_0063,12,11756.112760232389,15,0.2298,0.22981048814872804,0.25,0.020199999999999996,0.020189511851271963,1.0488148728032831e-05,3.3306690738754696e-16,True,False,12,0
CKT_0064,14,109673.3194871674,16,8.9905,8.990477268582813,9.0,0.009499999999999176,0.009522731417186847,2.2731417187671354e-05,4.671818487622659e-13,True,False,14,0
CKT_0065,6,79.02147963011859,6,10.1916,10.191640043050317,10.2,0.008399999999999963,0.008359956949682612,4.0043050317351e-05,0.0,True,False,6,0
CKT_0066,8,281.03599222770475,6,12.4153,12.415309993882989,12.4,0.01529999999999987,0.015309993882988593,9.993882988723612e-06,1.7763568394002505e-15,True,False,8,0
CKT_0067,6,60.384245119005115,6,21.2617,21.261663834729916,21.25,0.011700000000001154,0.011663834729915834,3.616527008531989e-05,1.7763568394002505e-14,True,False,6,0
CKT_0068,8,6217.086121661925,6,24.0,23.999995892011388,23.95,0.05000000000000071,0.04999589201138832,4.10798861238959e-06,3.552713678800501e-15,False,True,8,0
CKT_0069,7,304.30704811772654,6,6.7311,6.7310852097248794,6.75,0.01890000000000036,0.018914790275120552,1.4790275120191154e-05,0.0,True,False,7,0
CKT_0070,4,329.7674424235333,4,0.0221,0.022144383275884767,0.0,0.0221,0.022144383275884767,4.4383275884764956e-05,3.469446951953614e-18,True,False,4,0
CKT_0071,5,nan,5,9.0,9.0,9.0,0.0,0.0,0.0,0.0,True,False,0,0
CKT_0072,2,nan,4,1.8,1.8,1.8,0.0,0.0,0.0,0.0,True,False,0,0
CKT_0073,5,60.81701386972381,5,1.8238,1.8238364356969985,1.8,0.023800000000000043,0.023836435696998448,3.6435696998404765e-05,6.661338147750939e-16,True,False,5,0
CKT_0074,3,nan,4,3.3,3.3,3.3,0.0,0.0,0.0,0.0,True,False,0,0
CKT_0075,7,16048.29818168689,5,7.1181,7.11813489322187,7.1,0.01810000000000045,0.018134893221870563,3.489322187011368e-05,1.1812772982011666e-13,True,False,7,0
CKT_0076,7,431.84151101650644,5,0.906,0.9059848292122561,0.9,0.006000000000000005,0.005984829212256071,1.5170787743934433e-05,4.6629367034256575e-15,True,False,7,0
CKT_0077,7,nan,5,9.0,9.0,9.0,0.0,0.0,0.0,0.0,True,False,0,0
CKT_0078,5,106.85823530754851,5,7.084,7.083976277876458,7.1,0.016000000000000014,0.016023722123541972,2.372212354195824e-05,8.881784197001252e-16,True,False,5,0
CKT_0079,5,nan,5,3.3,3.3,3.3,0.0,0.0,0.0,0.0,True,False,0,0
CKT_0080,12,8804.268269944418,6,4.9311,4.931135797907789,4.95,0.01890000000000036,0.01886420209221118,3.579790778918124e-05,0.0,True,False,12,0
CKT_0081,11,156683.03378479372,6,4.7176,4.717571391238451,4.7,0.017599999999999838,0.01757139123845075,2.860876154908709e-05,1.7763568394002505e-15,True,False,11,0
CKT_0082,12,137717.063278795,6,2.3987,2.3986672794117645,2.4,0.0013000000000000789,0.0013327205882354143,3.272058823533541e-05,0.0,True,False,12,0
CKT_0083,12,2393.627117938674,6,14.9996,14.999623870582726,15.0,0.0004000000000008441,0.00037612941727438454,2.3870582726459588e-05,1.7763568394002505e-15,True,False,12,0
CKT_0084,17,15159.51569311404,20,14.2707,14.270741047961332,14.25,0.02069999999999972,0.020741047961331915,4.104796133219679e-05,1.0480505352461478e-13,True,False,17,0
