K,circuit,dtype,eta,frac_finite,frac_onehot,frac_tied,fwd_rel_err,max_entropy,mean_entropy,n_free,n_lookups,pred_unchanged,pred_v,prune,prune_nz,quant,selector_hit
1000000.0,CKT_0154,f64,1.0,1.0,0.010416666666666666,0.9895833333333334,1.0,4.564348191467835,3.5977021568986123,16,36864,False,0.0,0.0,False,per_tensor_int8,0.9054904513888888
1000000.0,CKT_0154,f64,1.0,1.0,0.1701931423611111,0.8298068576388888,1.0,4.564348191467835,3.0168231628160247,16,36864,False,0.0,0.0,False,per_channel_int8,0.920654296875
1000000.0,CKT_0154,f64,5.641892912703648e-17,1.0,0.1701931423611111,0.8298068576388888,2.443935120039048e-16,4.564348191467835,3.0168231628160247,16,36864,True,13.35,0.1,False,,1.0
1000000.0,CKT_0154,f64,1.0,1.0,0.1701931423611111,0.8298068576388888,1.0,4.564348191467835,3.0168231628160247,16,36864,False,0.0,0.1,True,,0.9127875434027778
1000000.0,CKT_0154,f64,5.641892912703648e-17,1.0,0.1701931423611111,0.8298068576388888,2.443935120039048e-16,4.564348191467835,3.0168231628160247,16,36864,True,13.35,0.5,False,,1.0
1000000.0,CKT_0154,f64,1.0,1.0,0.1701931423611111,0.8298068576388888,1.0,4.564348191467835,3.0168231628160247,16,36864,False,0.0,0.5,True,,0.9127875434027778
1000000.0,CKT_0154,f64,5.641892912703648e-17,1.0,0.1701931423611111,0.8298068576388888,2.443935120039048e-16,4.564348191467835,3.0168231628160247,16,36864,True,13.35,0.9,False,,1.0
1000000.0,CKT_0154,f64,1.0,1.0,0.010416666666666666,0.9895833333333334,1.0,4.564348191467835,3.5977021568986123,16,36864,False,0.0,0.9,True,,0.9054904513888888
10000.0,CKT_0154,f64,5.641892912703648e-17,1.0,0.17277018229166666,0.8272298177083334,3.6659026800585726e-16,4.564348191467835,3.0074541467824343,16,36864,True,13.35,0.0,False,,1.0
10000.0,CKT_0154,f32,2.510649571375267e-08,1.0,0.17277018229166666,0.8272298177083334,8.72651688970488e-08,4.564348297693688,3.007454167649678,16,36864,True,13.35,0.0,False,,1.0
10000.0,CKT_0154,bf16,0.053569733012493334,1.0,0.16392686631944445,0.8360731336805556,2006.605248992019,4.571307902921217,3.018607467244059,16,36864,False,23.85,0.0,False,,0.9906412760416666
10000.0,CKT_0154,f16,inf,0.024468315972222224,0.005018446180555556,0.019612630208333332,inf,2.0794415416798357,0.02814866042603539,16,36864,False,0.0,0.0,False,,0.724853515625
10000.0,CKT_0154,f64,1.0,1.0,0.010416666666666666,0.9895833333333334,1.0,4.564348191467835,3.5977021568986123,16,36864,False,0.0,0.0,False,per_tensor_int8,0.9029134114583334
10000.0,CKT_0154,f64,1.0,1.0,0.17277018229166666,0.8272298177083334,1.0,4.564348191467835,3.0074541467824343,16,36864,False,0.0,0.0,False,per_channel_int8,0.920654296875
10000.0,CKT_0154,f64,5.641892912703648e-17,1.0,0.17277018229166666,0.8272298177083334,3.6659026800585726e-16,4.564348191467835,3.0074541467824343,16,36864,True,13.35,0.1,False,,1.0
10000.0,CKT_0154,f64,1.0,1.0,0.17277018229166666,0.8272298177083334,1.0,4.564348191467835,3.0074541467824343,16,36864,False,0.0,0.1,True,,0.9127875434027778
10000.0,CKT_0154,f64,5.641892912703648e-17,1.0,0.17277018229166666,0.8272298177083334,3.6659026800585726e-16,4.564348191467835,3.0074541467824343,16,36864,True,13.35,0.5,False,,1.0
10000.0,CKT_0154,f64,1.0,1.0,0.17277018229166666,0.8272298177083334,1.0,4.564348191467835,3.0074541467824343,16,36864,False,0.0,0.5,True,,0.9127875434027778
10000.0,CKT_0154,f64,5.641892912703648e-17,1.0,0.17277018229166666,0.8272298177083334,3.6659026800585726e-16,4.564348191467835,3.0074541467824343,16,36864,True,13.35,0.9,False,,1.0
10000.0,CKT_0154,f64,1.0,1.0,0.010416666666666666,0.9895833333333334,1.0,4.564348191467835,3.5977021568986123,16,36864,False,0.0,0.9,True,,0.9029134114583334
10000000000.0,CKT_0116,f64,5.918302496261073e-18,1.0,0.17209612817089454,0.8279038718291055,1.9772137441949255e-16,4.672828834461907,3.0948672626875573,19,44940,True,8.85,0.0,False,,1.0
10000000000.0,CKT_0116,f32,2.2957486160964703e-09,1.0,0.17209612817089454,0.8279038718291055,1.7719948405054995e-07,4.6728287181619015,3.0948672818047305,19,44940,True,8.85,0.0,False,,1.0
10000000000.0,CKT_0116,bf16,0.012630792508766779,1.0,0.15936804628393414,0.8406319537160659,9.503173961493982,4.673720691004357,3.110945700033564,19,44940,False,23.75,0.0,False,,0.9869826435246996
10000000000.0,CKT_0116,f16,inf,0.009078771695594125,0.0022696929238985313,0.006809078771695594,inf,1.3862943611198906,0.007213151579401329,19,44940,False,0.0,0.0,False,,0.7236760124610592
10000000000.0,CKT_0116,f64,1.0,1.0,0.009345794392523364,0.9906542056074766,1.0,4.672828834461907,3.7032599724466495,19,44940,False,0.0,0.0,False,per_tensor_int8,0.9075211392968402
10000000000.0,CKT_0116,f64,1.0,1.0,0.17209612817089454,0.8279038718291055,1.0,4.672828834461907,3.0948672626875573,19,44940,False,0.0,0.0,False,per_channel_int8,0.9173564753004005
10000000000.0,CKT_0116,f64,5.918302496261073e-18,1.0,0.17209612817089454,0.8279038718291055,1.9772137441949255e-16,4.672828834461907,3.0948672626875573,19,44940,True,8.85,0.1,False,,1.0
10000000000.0,CKT_0116,f64,1.0,1.0,0.17209612817089454,0.8279038718291055,1.0,4.672828834461907,3.0948672626875573,19,44940,False,0.0,0.1,True,,0.911125945705385
10000000000.0,CKT_0116,f64,5.918302496261073e-18,1.0,0.17209612817089454,0.8279038718291055,1.9772137441949255e-16,4.672828834461907,3.0948672626875573,19,44940,True,8.85,0.5,False,,1.0
10000000000.0,CKT_0116,f64,1.0,1.0,0.17209612817089454,0.8279038718291055,1.0,4.672828834461907,3.0948672626875573,19,44940,False,0.0,0.5,True,,0.911125945705385
