circuit_id,complexity,N,n_free,n_fixed,target_node,pred_V_dsl,ref_V_lu,ref_V_direct,truth_V,abs_error,pass_fail,seq_length,build_time_s,run_time_s,n_layers,d_model,build_status,run_status,error
CKT_0104,Hard,22,18,4,7,15.0000,15.0000,15.0000,15.0,0.0000,PASS,102,13.29,0.27,4,202,built,PASS,
CKT_0105,Hard,22,16,6,7,0.0500,0.0500,0.0500,0.0601,0.0101,PASS,96,13.13,0.28,4,192,built,PASS,
CKT_0106,Hard,22,17,5,7,11.8000,11.8000,11.8000,11.7927,0.0073,PASS,99,15.26,0.25,4,196,built,PASS,
CKT_0107,Hard,31,27,4,30,2.2500,2.2500,2.2500,2.2513,0.0013,PASS,147,21.00,0.60,4,288,built,PASS,
CKT_0108,Hard,31,27,4,30,3.8500,3.8500,3.8500,3.8495,0.0005,PASS,147,28.03,7.16,4,288,built,PASS,
CKT_0109,Hard,36,30,6,35,4.1500,4.1500,4.1500,4.1397,0.0103,PASS,166,59.98,6.91,4,326,built,PASS,
CKT_0110,Hard,36,31,5,35,5.3000,5.3000,5.3000,5.2916,0.0084,PASS,169,71.44,0.90,4,332,built,PASS,
CKT_0111,Hard,37,33,4,36,5.7000,5.7000,5.7000,5.7196,0.0196,PASS,177,58.04,1.17,4,346,built,PASS,
CKT_0112,Hard,23,19,4,12,12.0000,12.0000,12.0000,11.9984,0.0016,PASS,107,14.87,0.31,4,210,built,PASS,
CKT_0113,Hard,25,21,4,12,9.0000,9.0000,9.0000,8.995,0.0050,PASS,117,18.19,4.15,4,230,built,PASS,
CKT_0114,Hard,23,17,6,12,5.0000,5.0000,5.0000,4.9991,0.0009,PASS,101,25.28,2.03,4,202,built,PASS,
CKT_0115,Hard,25,21,4,12,23.6000,23.6500,23.6500,23.6344,0.0344,PASS,117,18.77,4.02,4,230,built,PASS,
CKT_0116,Hard,23,19,4,12,8.8500,8.8500,8.8500,8.8276,0.0224,PASS,107,22.04,0.79,4,210,built,PASS,
CKT_0117,Hard,13,7,6,7,0.0500,0.0500,0.0500,0.0487,0.0013,PASS,51,9.68,1.03,4,106,built,PASS,
CKT_0118,Hard,14,8,6,8,3.3000,3.3000,3.3000,3.3037,0.0037,PASS,56,7.67,1.78,4,116,built,PASS,
CKT_0119,Hard,13,9,4,7,0.0000,0.0000,0.0000,0.0237,0.0237,PASS,57,9.23,1.79,4,114,built,PASS,
CKT_0120,Hard,14,9,5,8,3.4500,3.4500,3.4500,3.4379,0.0121,PASS,59,13.59,0.70,4,120,built,PASS,
CKT_0121,Hard,13,8,5,7,1.2000,1.2000,1.2000,1.188,0.0120,PASS,54,9.84,1.30,4,110,built,PASS,
CKT_0122,Hard,18,14,4,9,6.1000,6.1000,6.1000,6.1243,0.0243,PASS,82,22.39,1.79,4,162,built,PASS,
CKT_0123,Hard,18,13,5,9,0.5000,0.5000,0.5000,0.497,0.0030,PASS,79,19.65,1.90,4,158,built,PASS,
CKT_0124,Hard,18,12,6,9,7.4000,7.4000,7.4000,7.4091,0.0091,PASS,76,17.87,2.40,4,154,built,PASS,
CKT_0125,Hard,18,13,5,9,9.3000,9.3000,9.3000,9.3061,0.0061,PASS,79,20.54,1.78,4,158,built,PASS,
CKT_0126,Hard,18,13,5,9,12.6500,12.6500,12.6500,12.6372,0.0128,PASS,79,18.18,1.49,4,158,built,PASS,
CKT_0127,Hard,27,21,6,9,21.0000,21.0000,21.0000,21.0205,0.0205,PASS,121,23.80,3.92,4,240,built,PASS,
CKT_0128,Hard,27,21,6,9,0.0500,0.0500,0.0500,0.026,0.0240,PASS,121,18.63,1.37,4,240,built,PASS,
CKT_0129,Hard,43,37,6,42,8.8000,8.8000,8.8000,8.8102,0.0102,PASS,201,146.46,9.30,4,394,built,PASS,
CKT_0130,Hard,43,38,5,42,23.5500,23.6000,23.6000,23.6201,0.0701,FAIL,204,140.78,14.78,4,398,built,FAIL,
CKT_0131,Hard,49,43,6,48,14.1000,14.1000,14.1000,14.0817,0.0183,PASS,231,237.20,14.38,4,452,built,PASS,
