circuit_id,complexity,N,num_resistors,num_fixed_nodes,T_used,pred_V_dsl,truth_V,abs_error,pass_fail,pred_V_transformer,transformer_matches_dsl,jacobi_ref_V,direct_solve_V,rho_M,kappa_A,seq_length,dsl_time_ms,transformer_time_ms,n_layers,d_model,d_ffn,vocab,model_size_bytes,error
CKT_0128,Hard,27,50,6,1350,0.0500,0.026,0.0240,PASS,,,0.0260,0.025984,0.9997145932,1.095775e+05,72958,16627.9,,5,36,20,538,609146,
CKT_0129,Hard,43,72,6,2150,0.0000,8.8102,8.8102,FAIL,,,5.6033,8.810183,0.9996296297,9.896899e+04,184990,43058.7,,5,36,20,570,627962,
CKT_0130,Hard,43,72,5,2150,12.1500,23.6201,11.4701,FAIL,,,20.7376,23.620146,0.9996533539,1.681397e+05,184990,43363.6,,5,36,20,570,627962,
CKT_0131,Hard,49,83,6,2450,5.0000,14.0817,9.0817,FAIL,,,12.4988,14.081739,0.9991228187,2.803922e+05,240202,56258.8,,5,36,20,582,635018,
CKT_0132,Hard,49,83,5,2450,0.0000,7.9791,7.9791,FAIL,,,0.9144,7.979088,0.9999318559,1.113351e+05,240202,56008.5,,5,36,20,582,635018,
CKT_0133,Hard,50,85,6,2500,0.0000,6.976,6.9760,FAIL,,,0.0026,6.976007,0.9999766408,3.967938e+05,250104,57578.6,,5,36,20,584,636194,
CKT_0134,Hard,29,50,5,1450,11.6000,11.995,0.3950,FAIL,,,11.9902,11.995024,0.9970812436,5.177032e+04,84162,18830.9,,5,36,20,542,611498,
CKT_0135,Hard,31,54,6,1550,14.9500,14.9694,0.0194,PASS,,,14.9693,14.969387,0.9993948690,3.381479e+04,96166,22401.2,,5,36,20,546,613850,
CKT_0136,Hard,29,48,5,1450,0.0000,11.3129,11.3129,FAIL,,,3.8569,11.312880,0.9996441874,3.322043e+04,84162,19365.2,,5,36,20,542,611498,
CKT_0137,Hard,31,51,6,1550,1.5000,1.8463,0.3463,FAIL,,,1.8407,1.846259,0.9996617217,2.241899e+04,96166,22200.1,,5,36,20,546,613850,
CKT_0138,Hard,29,52,6,1450,1.5500,11.7056,10.1556,FAIL,,,6.4868,11.705609,0.9995800794,8.073646e+03,84162,18901.8,,5,36,20,542,611498,
CKT_0139,Hard,15,45,5,1000,3.3000,3.3,0.0000,PASS,,,3.3000,3.300000,0.9273763640,3.888003e+03,30034,6716.8,,5,36,20,514,595034,
