circuit_id,complexity,N,n_free,n_fixed,T1_build_s,T1_infer_s,T2_build_s,T2_infer_s,T2_n_tokens,T1_n_layers,T1_d_model,T1_n_params,T2_n_layers,T2_d_model,T2_n_params,pred_v,truth_v,abs_err_v,pass_50mv,pass_75mv,status,error
CKT_0121,Hard,13,8,5,2.2506,2.3905,0.4643,0.1884,30,3,94,178600,4,48,100608,1.2,1.188,0.012,PASS,PASS,OK,
CKT_0122,Hard,18,14,4,2.7228,2.7271,0.4278,0.3234,40,3,166,554440,4,48,100608,6.1,6.1243,0.0243,PASS,PASS,OK,
CKT_0123,Hard,18,13,5,2.5944,2.878,0.4191,0.2104,40,3,154,477400,4,48,100608,0.5,0.497,0.003,PASS,PASS,OK,
CKT_0124,Hard,18,12,6,2.6144,2.5666,0.4328,0.1805,40,3,142,406120,4,48,100608,7.4,7.4091,0.0091,PASS,PASS,OK,
CKT_0125,Hard,18,13,5,2.6672,2.6225,0.4673,0.2042,40,3,154,477400,4,48,100608,9.3,9.3061,0.0061,PASS,PASS,OK,
CKT_0126,Hard,18,13,5,2.6447,2.5554,0.4226,0.4193,40,3,154,477400,4,48,100608,12.65,12.6372,0.0128,PASS,PASS,OK,
CKT_0127,Hard,27,21,6,3.8323,3.4908,0.4299,0.1688,58,3,250,1255000,4,48,100608,21.0,21.0205,0.0205,PASS,PASS,OK,
CKT_0128,Hard,27,21,6,3.714,3.4459,0.4643,0.1281,58,3,250,1255000,4,48,100608,0.05,0.026,0.024,PASS,PASS,OK,
CKT_0129,Hard,43,37,6,9.4514,11.667,0.4242,0.296,90,3,442,3916120,4,48,100608,8.8,8.8102,0.0102,PASS,PASS,OK,
CKT_0130,Hard,43,38,5,9.5332,14.7396,0.4318,0.2411,90,3,454,4131400,4,48,100608,23.55,23.6201,0.0701,FAIL,PASS,OK,
CKT_0131,Hard,49,43,6,17.9144,19.0916,0.4642,0.6774,102,3,514,5294200,4,48,100608,14.1,14.0817,0.0183,PASS,PASS,OK,
CKT_0132,Hard,49,44,5,19.799,21.2492,0.4687,0.5235,102,3,526,5544040,4,48,100608,8.0,7.9791,0.0209,PASS,PASS,OK,
CKT_0133,Hard,50,44,6,21.075,20.8524,0.4199,0.3405,104,3,526,5544040,4,48,100608,7.0,6.976,0.024,PASS,PASS,OK,
CKT_0134,Hard,29,24,5,4.2169,3.9953,0.4291,0.2039,62,3,286,1641640,4,48,100608,12.0,11.995,0.005,PASS,PASS,OK,
CKT_0135,Hard,31,25,6,4.5683,4.3365,0.4247,0.2877,66,3,298,1782040,4,48,100608,14.95,14.9694,0.0194,PASS,PASS,OK,
CKT_0136,Hard,29,24,5,4.0544,4.1432,0.4668,0.5573,62,3,286,1641640,4,48,100608,11.3,11.3129,0.0129,PASS,PASS,OK,
CKT_0137,Hard,31,25,6,4.6184,4.344,0.426,0.2625,66,3,298,1782040,4,48,100608,1.85,1.8463,0.0037,PASS,PASS,OK,
CKT_0138,Hard,29,23,6,4.1459,3.9154,0.4329,0.2768,62,3,274,1507000,4,48,100608,11.7,11.7056,0.0056,PASS,PASS,OK,
CKT_0139,Hard,15,10,5,2.5424,2.4835,0.4694,0.2924,34,3,118,280840,4,48,100608,3.3,3.3,0.0,PASS,PASS,OK,
